# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: C:\Programming\University\basic_lab_digital_circuits\Lab 2\decoder.csv
# Generated on: Thu Dec 11 00:35:00 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLOCK_50,Input,,,,PIN_J1,,,,,,
HEX0[6],Output,,,,PIN_AE10,,,,,,
HEX0[5],Output,,,,PIN_AG10,,,,,,
HEX0[4],Output,,,,PIN_AF10,,,,,,
HEX0[3],Output,,,,PIN_AE11,,,,,,
HEX0[2],Output,,,,PIN_AF11,,,,,,
HEX0[1],Output,,,,PIN_AB11,,,,,,
HEX0[0],Output,,,,PIN_AH10,,,,,,
HEX1[6],Output,,,,PIN_AB13,,,,,,
HEX1[5],Output,,,,PIN_AB10,,,,,,
HEX1[4],Output,,,,PIN_AD12,,,,,,
HEX1[3],Output,,,,PIN_AH11,,,,,,
HEX1[2],Output,,,,PIN_AC10,,,,,,
HEX1[1],Output,,,,PIN_AG11,,,,,,
HEX1[0],Output,,,,PIN_A12,,,,,,
HEX2[6],Output,,,,PIN_AC12,,,,,,
HEX2[5],Output,,,,PIN_AF8,,,,,,
HEX2[4],Output,,,,PIN_AC11,,,,,,
HEX2[3],Output,,,,PIN_AE8,,,,,,
HEX2[2],Output,,,,PIN_AE9,,,,,,
HEX2[1],Output,,,,PIN_AE14,,,,,,
HEX2[0],Output,,,,PIN_AA12,,,,,,
HEX3[6],Output,,,,PIN_AB12,,,,,,
HEX3[5],Output,,,,PIN_AD11,,,,,,
HEX3[4],Output,,,,PIN_AF12,,,,,,
HEX3[3],Output,,,,PIN_AE12,,,,,,
HEX3[2],Output,,,,PIN_AF14,,,,,,
HEX3[1],Output,,,,PIN_AE13,,,,,,
HEX3[0],Output,,,,PIN_AF13,,,,,,
KEY[3],Input,,,,PIN_E26,,,,,,
KEY[2],Input,,,,PIN_W27,,,,,,
KEY[1],Input,,,,PIN_Y1,,,,,,
KEY[0],Input,,,,PIN_Y2,,,,,,
LEDG[8],Output,,,,PIN_V2,,,,,,
LEDG[7],Output,,,,PIN_AH17,,,,,,
LEDG[6],Output,,,,PIN_Y14,,,,,,
LEDG[5],Output,,,,PIN_AB16,,,,,,
LEDG[4],Output,,,,PIN_AA16,,,,,,
LEDG[3],Output,,,,PIN_AG17,,,,,,
LEDG[2],Output,,,,PIN_AA15,,,,,,
LEDG[1],Output,,,,PIN_AC14,,,,,,
LEDG[0],Output,,,,PIN_AH12,,,,,,
LEDR[17],Output,,,,PIN_AD14,,,,,,
LEDR[16],Output,,,,PIN_AF17,,,,,,
LEDR[15],Output,,,,PIN_AB14,,,,,,
LEDR[14],Output,,,,PIN_AA14,,,,,,
LEDR[13],Output,,,,PIN_AE16,,,,,,
LEDR[12],Output,,,,PIN_AF16,,,,,,
LEDR[11],Output,,,,PIN_AC15,,,,,,
LEDR[10],Output,,,,PIN_Y15,,,,,,
LEDR[9],Output,,,,PIN_AE15,,,,,,
LEDR[8],Output,,,,PIN_AD15,,,,,,
LEDR[7],Output,,,,PIN_A23,,,,,,
LEDR[6],Output,,,,PIN_B26,,,,,,
LEDR[5],Output,,,,PIN_G14,,,,,,
LEDR[4],Output,,,,PIN_Y10,,,,,,
LEDR[3],Output,,,,PIN_AG12,,,,,,
LEDR[2],Output,,,,PIN_Y12,,,,,,
LEDR[1],Output,,,,PIN_AF15,,,,,,
LEDR[0],Output,,,,PIN_Y13,,,,,,
PS2_CLK,Input,,,,PIN_G6,3.3-V LVTTL,,,,,
PS2_DAT,Input,,,,PIN_AA13,,,,,,
clock,Unknown,PIN_Y2,2,B2_N0,,3.3-V LVTTL,,,,,
reset,Unknown,PIN_M23,6,B6_N2,,2.5 V,,,,,
ps2_clk,Unknown,PIN_G6,1,B1_N0,,3.3-V LVTTL,,,,,
ps2_data,Unknown,PIN_H5,1,B1_N1,,3.3-V LVTTL,,,,,
seg_h_h[0],Unknown,PIN_H22,6,B6_N0,,2.5 V,,,,,
seg_h_h[1],Unknown,PIN_J22,6,B6_N0,,2.5 V,,,,,
seg_h_h[2],Unknown,PIN_L25,6,B6_N1,,2.5 V,,,,,
seg_h_h[3],Unknown,PIN_L26,6,B6_N1,,2.5 V,,,,,
seg_h_h[4],Unknown,PIN_E17,7,B7_N2,,2.5 V,,,,,
seg_h_h[5],Unknown,PIN_F22,7,B7_N0,,2.5 V,,,,,
seg_h_h[6],Unknown,PIN_G18,7,B7_N2,,2.5 V,,,,,
seg_h_l[0],Unknown,PIN_U24,5,B5_N0,,2.5 V,,,,,
seg_h_l[1],Unknown,PIN_U23,5,B5_N1,,2.5 V,,,,,
seg_h_l[2],Unknown,PIN_W25,5,B5_N1,,2.5 V,,,,,
seg_h_l[3],Unknown,PIN_W22,5,B5_N0,,2.5 V,,,,,
seg_h_l[4],Unknown,PIN_W21,5,B5_N1,,2.5 V,,,,,
seg_h_l[5],Unknown,PIN_Y22,5,B5_N0,,2.5 V,,,,,
seg_h_l[6],Unknown,PIN_M24,6,B6_N2,,2.5 V,,,,,
seg_l_h[0],Unknown,PIN_W28,5,B5_N1,,2.5 V,,,,,
seg_l_h[1],Unknown,PIN_W27,5,B5_N1,,2.5 V,,,,,
seg_l_h[2],Unknown,PIN_Y26,5,B5_N1,,2.5 V,,,,,
seg_l_h[3],Unknown,PIN_W26,5,B5_N1,,2.5 V,,,,,
seg_l_h[4],Unknown,PIN_Y25,5,B5_N1,,2.5 V,,,,,
seg_l_h[5],Unknown,PIN_AA26,5,B5_N1,,2.5 V,,,,,
seg_l_h[6],Unknown,PIN_AA25,5,B5_N1,,2.5 V,,,,,
seg_l_l[0],Unknown,PIN_Y19,4,B4_N0,,2.5 V,,,,,
seg_l_l[1],Unknown,PIN_AF23,4,B4_N0,,2.5 V,,,,,
seg_l_l[2],Unknown,PIN_AD24,4,B4_N0,,2.5 V,,,,,
seg_l_l[3],Unknown,PIN_AA21,4,B4_N0,,2.5 V,,,,,
seg_l_l[4],Unknown,PIN_AB20,4,B4_N0,,2.5 V,,,,,
seg_l_l[5],Unknown,PIN_U21,5,B5_N0,,2.5 V,,,,,
seg_l_l[6],Unknown,PIN_V21,5,B5_N1,,2.5 V,,,,,
