Time_ns,Reset,Trigger_i,Pulse_o
10,'1','0','0'
30,'1','0','0'
50,'1','0','0'
70,'1','0','0'
90,'1','0','0'
110,'0','0','0'
130,'0','0','0'
150,'0','1','0'
170,'0','1','0'
190,'0','0','1'
210,'0','0','0'
230,'0','0','0'
250,'0','0','0'
270,'0','0','0'
290,'0','1','0'
310,'0','1','1'
330,'0','1','0'
350,'0','1','0'
370,'0','1','0'
390,'0','1','0'
410,'0','1','0'
430,'0','1','0'
450,'0','1','0'
470,'0','1','0'
490,'0','0','0'
510,'0','0','0'
530,'0','0','0'
550,'0','0','0'
570,'0','0','0'
590,'0','1','0'
610,'0','1','1'
630,'0','0','0'
650,'0','0','0'
670,'0','0','0'
690,'0','0','0'
710,'0','1','0'
730,'0','1','0'
750,'0','0','1'
770,'0','0','0'
790,'0','0','0'
810,'0','0','0'
830,'0','0','0'
